voter_id,lat,lng,geocode_source
200272160,41.16458573278,-105.885146816728,CENSUS
200309412,41.582962133623,-109.222937096113,CENSUS
200295040,41.16458573278,-105.885146816728,CENSUS
200117048,42.652589507962,-105.190111564429,CENSUS
200276307,41.784642100444,-105.983173229793,CENSUS
200295029,41.16458573278,-105.885146816728,CENSUS
600057713,41.281804672936,-105.5644335614,CENSUS
200297717,43.003827939024,-108.880769262612,CENSUS
200131826,43.003308014598,-108.89338320161,CENSUS
230644,44.016387208315,-107.969214284401,CENSUS
355475,41.31402425305,-105.595176433404,CENSUS
200012360,44.016387208315,-107.969214284401,CENSUS
200265463,41.325261218998,-105.595120373936,CENSUS
200210055,41.31402425305,-105.595176433404,CENSUS
376747,42.652589507962,-105.190111564429,CENSUS
600010137,43.003827939024,-108.880769262612,CENSUS
211032,44.099545271349,-104.627868143216,CENSUS
200272497,41.16458573278,-105.885146816728,CENSUS
200272132,41.16458573278,-105.885146816728,CENSUS
200252103,41.272656078634,-110.33736179329,CENSUS
200308890,41.583475992758,-109.223369121938,CENSUS
200238987,42.861910371931,-106.263661333526,CENSUS
349500,41.582877027756,-109.222831637051,CENSUS
200289266,41.582962133623,-109.222937096113,CENSUS
11843,44.320032029606,-106.917978468017,CENSUS
200199950,44.836221578651,-108.393541745598,CENSUS
372116,42.045993543698,-104.97507349384,CENSUS
200273113,42.048930694233,-104.96858817343,CENSUS
200085460,42.043691666421,-104.962988726676,CENSUS
349397,42.040988724272,-104.962966928612,CENSUS
368007,42.040049266253,-104.962980029616,CENSUS
200292361,42.040611808664,-104.962976254439,CENSUS
200201797,42.043923621824,-104.962932137632,CENSUS
200175481,42.046223567154,-104.95867295183,CENSUS
200023989,42.046223567154,-104.95867295183,CENSUS
200265017,42.046223567154,-104.95867295183,CENSUS
200306035,44.446281849323,-108.431783591604,CENSUS
200103314,42.86451786961,-106.263670025331,CENSUS
256581,44.797270508654,-108.504777028221,CENSUS
200216859,44.446281849323,-108.431783591604,CENSUS
200309258,44.838960059603,-108.393376806017,CENSUS
200071356,44.809855806025,-106.955668978012,CENSUS
166915,44.346463647153,-106.698779623163,CENSUS
200175556,42.059372440818,-104.943683602914,CENSUS
255252,44.489488793355,-108.052629852762,CENSUS
200210351,44.797289398844,-106.955880462355,CENSUS
174366,44.797289398844,-106.955880462355,CENSUS
49747,42.496540366829,-108.731802752951,CENSUS
200024000,42.496540366829,-108.731802752951,CENSUS
600061241,42.496540366829,-108.731802752951,CENSUS
200217133,44.797289398844,-106.955880462355,CENSUS
170128,44.797289398844,-106.955880462355,CENSUS
179854,44.797289398844,-106.955880462355,CENSUS
200117690,44.797289398844,-106.955880462355,CENSUS
170251,44.797289398844,-106.955880462355,CENSUS
152455,42.263576363659,-110.196110461915,CENSUS
159051,42.263576363659,-110.196110461915,CENSUS
200072409,41.583485701429,-109.223350109122,CENSUS
600010869,44.29871881295,-105.358845551766,CENSUS
200267810,44.29871881295,-105.358845551766,CENSUS
196044,44.29871881295,-105.358845551766,CENSUS
200014129,44.29871881295,-105.358845551766,CENSUS
200305194,44.29871881295,-105.358845551766,CENSUS
600004719,44.29871881295,-105.358845551766,CENSUS
600017846,44.29871881295,-105.358845551766,CENSUS
200127994,44.29871881295,-105.358845551766,CENSUS
200217748,44.806794096834,-106.956507990272,CENSUS
200293359,44.29871881295,-105.358845551766,CENSUS
196804,44.29871881295,-105.358845551766,CENSUS
200215571,44.29871881295,-105.358845551766,CENSUS
196580,44.29871881295,-105.358845551766,CENSUS
205582,44.29871881295,-105.358845551766,CENSUS
200217731,44.806794096834,-106.956507990272,CENSUS
196343,44.29871881295,-105.358845551766,CENSUS
200011399,44.29871881295,-105.358845551766,CENSUS
206335,44.29871881295,-105.358845551766,CENSUS
196435,44.29871881295,-105.358845551766,CENSUS
200267776,44.29871881295,-105.358845551766,CENSUS
196436,44.29871881295,-105.358845551766,CENSUS
600014040,44.29871881295,-105.358845551766,CENSUS
600013990,44.29871881295,-105.358845551766,CENSUS
200267794,44.29871881295,-105.358845551766,CENSUS
600055821,44.29871881295,-105.358845551766,CENSUS
600014064,44.295107320959,-105.355581056076,CENSUS
200202443,44.29871881295,-105.358845551766,CENSUS
199906,44.29871881295,-105.358845551766,CENSUS
199905,44.29871881295,-105.358845551766,CENSUS
202583,44.29871881295,-105.358845551766,CENSUS
205730,44.29871881295,-105.358845551766,CENSUS
203436,44.29871881295,-105.358845551766,CENSUS
205862,44.29871881295,-105.358845551766,CENSUS
200294375,44.29871881295,-105.358845551766,CENSUS
200856,44.29871881295,-105.358845551766,CENSUS
208900,44.29871881295,-105.358845551766,CENSUS
200007617,43.759569684578,-104.551355811946,CENSUS
200278493,43.841447167671,-104.176430309981,CENSUS
211415,43.759569684578,-104.551355811946,CENSUS
600017050,43.841447167671,-104.176430309981,CENSUS
210395,43.759569684578,-104.551355811946,CENSUS
200162344,43.843043366599,-104.247086283983,CENSUS
600033303,43.759569684578,-104.551355811946,CENSUS
210787,44.089605505961,-104.167710628477,CENSUS
202817,43.855637205582,-104.202093030327,CENSUS
374496,42.737418284818,-105.344632018374,CENSUS
28625,42.931959542124,-105.85410146478,CENSUS
200056338,42.737330494346,-105.344732291469,CENSUS
375931,42.737418284818,-105.344632018374,CENSUS
200236041,41.686930764866,-106.413315670843,CENSUS
600005483,43.856652838952,-104.202702111284,CENSUS
600020101,43.854386799161,-104.200990742004,CENSUS
200071974,42.931959542124,-105.85410146478,CENSUS
200095476,43.855637205582,-104.202093030327,CENSUS
375040,42.737418284818,-105.344632018374,CENSUS
