voter_id,lat,lng,status
200293600,,,NO_MATCH
200215383,,,NO_MATCH
200289349,,,NO_MATCH
354881,,,NO_MATCH
200154750,,,NO_MATCH
200295466,,,NO_MATCH
200163464,,,NO_MATCH
200253063,,,NO_MATCH
200188047,,,NO_MATCH
200260603,,,NO_MATCH
200013466,,,NO_MATCH
153362,,,NO_MATCH
237562,,,NO_MATCH
215794,,,NO_MATCH
200281643,,,NO_MATCH
200272497,41.16458573278,-105.885146816728,OK
200008432,,,NO_MATCH
200198536,,,NO_MATCH
200117112,,,NO_MATCH
200272132,41.16458573278,-105.885146816728,OK
131911,,,NO_MATCH
256068,,,NO_MATCH
353672,,,NO_MATCH
200114648,,,NO_MATCH
146967,,,NO_MATCH
200176081,,,NO_MATCH
200181425,,,NO_MATCH
200192428,,,NO_MATCH
200227006,,,NO_MATCH
600051731,,,NO_MATCH
354418,,,NO_MATCH
70277,,,NO_MATCH
200061932,,,NO_MATCH
70278,,,NO_MATCH
200083964,,,NO_MATCH
80636,,,NO_MATCH
600009630,,,NO_MATCH
360891,,,NO_MATCH
200134608,,,NO_MATCH
341331,,,NO_MATCH
600018237,,,NO_MATCH
214588,,,NO_MATCH
200118463,,,NO_MATCH
200115075,,,NO_MATCH
200218512,,,NO_MATCH
200260051,,,NO_MATCH
82931,,,NO_MATCH
258611,,,NO_MATCH
200283872,,,NO_MATCH
80193,,,NO_MATCH
363133,,,NO_MATCH
81285,,,NO_MATCH
81286,,,NO_MATCH
363379,,,NO_MATCH
200140383,,,NO_MATCH
600035706,,,NO_MATCH
351846,,,NO_MATCH
200277871,,,NO_MATCH
200277872,,,NO_MATCH
223883,,,NO_MATCH
600052162,,,NO_MATCH
223884,,,NO_MATCH
200022237,,,NO_MATCH
213038,,,NO_MATCH
134260,,,NO_MATCH
200282998,,,NO_MATCH
200252103,41.272656078634,-110.33736179329,OK
71831,,,NO_MATCH
200260747,,,NO_MATCH
13352,,,NO_MATCH
71830,,,NO_MATCH
600024704,,,NO_MATCH
166874,,,NO_MATCH
200174381,,,NO_MATCH
200187967,,,NO_MATCH
200114329,,,NO_MATCH
200290149,,,NO_MATCH
600059572,,,NO_MATCH
200290148,,,NO_MATCH
200022486,,,NO_MATCH
255684,,,NO_MATCH
200287779,,,NO_MATCH
215105,,,NO_MATCH
600040290,,,NO_MATCH
200170219,,,NO_MATCH
200079455,,,NO_MATCH
351865,,,NO_MATCH
200019879,,,NO_MATCH
200312349,,,NO_MATCH
600026176,,,NO_MATCH
200312348,,,NO_MATCH
600044602,,,NO_MATCH
200218601,,,NO_MATCH
600039931,,,NO_MATCH
81893,,,NO_MATCH
200091555,,,NO_MATCH
216207,,,NO_MATCH
200266405,,,NO_MATCH
361669,,,NO_MATCH
200000106,,,NO_MATCH
600039932,,,NO_MATCH
200000107,,,NO_MATCH
200112975,,,NO_MATCH
348720,,,NO_MATCH
69654,,,NO_MATCH
200308890,41.583475992758,-109.223369121938,OK
200285609,,,NO_MATCH
200229840,,,NO_MATCH
200097083,,,NO_MATCH
200291724,,,NO_MATCH
200210684,,,NO_MATCH
222205,,,NO_MATCH
336621,,,NO_MATCH
200305826,,,NO_MATCH
200130051,,,NO_MATCH
200235286,,,NO_MATCH
78910,,,NO_MATCH
